Time,q,qdot,pelv_gyro_x,pelv_gyro_y,pelv_gyro_z,pelv_acc_x,pelv_acc_y,pelv_acc_z,leg_gyro_x,leg_gyro_y,leg_gyro_z,leg_acc_x,leg_acc_y,leg_acc_z,Label
1469,0.138826,8.35156,-0.558377,0.479229,-0.104888,0.0260694,5.5497,-2.45584,-0.00112535,1.11955,-0.647049,-7.12318,6.8277,-0.0332687,25
1479,0.214374,10.1641,-0.470546,0.5085,-0.1904,0.143684,5.13793,-2.62819,-0.178425,1.31943,-0.873964,-5.72161,6.14812,-2.08924,26
1489,0.288773,6.95312,-0.330023,0.569844,-0.248023,-0.159751,5.86956,-2.16864,-0.258439,1.73705,-1.08089,-3.7697,6.38153,-4.08753,27
1499,0.367773,6.60938,-0.18291,0.646352,-0.279429,-0.756351,7.25324,-1.57818,-0.204025,2.07032,-1.23916,-1.97088,7.46277,-5.22012,28
1509,0.443321,8.375,-0.0600438,0.708315,-0.29739,-1.56236,8.87939,-1.27104,-0.0458273,2.08861,-1.31757,-0.553862,9.03205,-5.15309,29
1519,0.526157,7.10938,0.0185373,0.722185,-0.310418,-2.44804,10.3524,-1.24585,0.153715,1.90025,-1.33759,0.420002,10.5439,-4.22528,30
1530,0.608225,9.72656,0.0185373,0.722185,-0.310418,-2.44804,10.3524,-1.24585,0.153715,1.90025,-1.33759,0.420002,10.5439,-4.22528,30
1539,0.696045,8.04688,0.0513257,0.666974,-0.316385,-3.25182,11.2753,-1.35381,0.353439,1.66693,-1.33047,0.813074,11.5301,-3.05936,31
1549,0.785783,10.3281,0.0582242,0.546334,-0.304769,-3.84184,11.4026,-1.47361,0.486452,1.38774,-1.29908,0.811859,11.7466,-2.10341,32
1559,0.877056,8.16406,0.060231,0.381662,-0.269581,-4.10931,10.8228,-1.5443,0.500109,1.0099,-1.23673,0.677618,11.2449,-1.52931,33
1569,0.968711,7.61719,0.0689158,0.203127,-0.213378,-3.96462,9.81782,-1.55506,0.425672,0.617076,-1.16153,0.468776,10.2645,-1.3217,34
1579,1.0642,8.89844,0.086354,0.0360817,-0.14632,-3.52804,8.76721,-1.41349,0.319109,0.306823,-1.09453,0.2947,9.13198,-1.47313,35
1589,1.15662,9.07031,0.109378,-0.107158,-0.0814787,-2.9583,7.93242,-1.14712,0.221702,0.0615263,-1.0388,0.27534,8.179,-1.81207,36
1599,1.2548,8.46875,0.138103,-0.222834,-0.0265823,-2.3665,7.42948,-0.87668,0.163506,-0.14641,-0.991216,0.284999,7.5736,-2.1054,37
1609,1.35106,9.72656,0.138103,-0.222834,-0.0265823,-2.3665,7.42948,-0.87668,0.163506,-0.14641,-0.991216,0.284999,7.5736,-2.1054,37
1619,1.45115,12.0078,0.174165,-0.312951,0.00998986,-1.876,7.2745,-0.667248,0.149169,-0.326999,-0.961244,0.174922,7.35913,-2.37096,38
1629,1.55009,9.44531,0.214759,-0.382383,0.0239891,-1.4552,7.33044,-0.612141,0.168804,-0.489191,-0.946262,0.185377,7.47396,-2.55182,39
1639,1.64635,10.7109,0.252428,-0.434608,0.0183863,-1.09616,7.56753,-0.681245,0.219687,-0.62458,-0.933772,0.431175,7.7269,-2.54417,40
1649,1.74452,12.1094,0.279929,-0.472217,-0.00596519,-0.836217,7.90236,-0.790209,0.296431,-0.734832,-0.938497,0.685342,7.95979,-2.4125,41
1659,1.84308,9.36719,0.295067,-0.498282,-0.0420365,-0.580132,8.14211,-0.936683,0.381998,-0.823347,-0.954418,0.964549,8.16499,-2.09873,42
1669,1.94778,10.6094,0.297916,-0.512099,-0.0821642,-0.312415,8.32528,-1.01863,0.46143,-0.884488,-0.958254,1.23644,8.40462,-1.5979,43
1679,2.03867,11.3125,0.297916,-0.512099,-0.0821642,-0.312415,8.32528,-1.01863,0.46143,-0.884488,-0.958254,1.23644,8.40462,-1.5979,43
1689,2.13607,10.5781,0.2883,-0.513061,-0.127662,-0.116143,8.56025,-0.970992,0.516942,-0.933568,-0.961046,1.40642,8.71316,-1.14079,44
1699,2.22965,11.9297,0.26622,-0.50586,-0.17411,0.0453368,8.86156,-0.903772,0.533294,-0.999755,-0.981013,1.46003,9.08928,-0.695394,45
