"q","lin_acc_x","lin_acc_y","lin_acc_z","ang_vel_x","ang_vel_y","ang_vel_z","Label"
"-0.107274","-1.435221","1.931914","-9.362407","-0.100075","0.271903","0.464726","65"
"-0.105741","-1.596213","2.132824","-9.540136","-0.077486","0.339873","0.376182","66"
"-0.101144","-1.517362","2.219251","-9.739604","-0.051324","0.38423","0.283638","66"
"-0.097696","-1.448905","2.17175","-9.864213","-0.025069","0.390883","0.191113","67"
"-0.093865","-1.401044","2.052569","-9.911675","-0.013535","0.381209","0.11049","68"
"-0.088118","-1.193596","1.858302","-9.877716","-0.013058","0.363822","0.033321","69"
"-0.085819","-1.026503","1.803863","-9.752159","-0.023542","0.34387","-0.02597","69"
"-0.079306","-0.780857","1.726016","-9.642776","-0.021264","0.324865","-0.076314","70"
"-0.072027","-0.567096","1.686078","-9.542375","-0.017823","0.305727","-0.109065","71"
"-0.063981","-0.394381","1.586613","-9.442914","-0.007821","0.290232","-0.12541","72"
"-0.057851","-0.238188","1.408387","-9.403151","0.002475","0.295287","-0.129847","72"
"-0.052871","-0.025434","1.268063","-9.395003","0.026363","0.275427","-0.121796","73"
"-0.046741","0.195714","1.13877","-9.531122","0.025847","0.287796","-0.095239","74"
"-0.039845","0.384628","1.040146","-9.592244","0.048001","0.286544","-0.055506","75"
"-0.035247","0.638826","0.957991","-9.687183","0.059015","0.290883","0.002921","75"
"-0.029883","0.822456","0.940962","-9.658938","0.074518","0.284777","0.074465","76"
"-0.027202","0.93271","0.823152","-9.649786","0.095159","0.281189","0.153118","77"
"-0.02337","1.042537","0.791616","-9.534487","0.10044","0.27745","0.236191","78"
"-0.019922","1.052566","0.799087","-9.473291","0.113873","0.264052","0.311794","78"
"-0.015325","1.01967","0.757598","-9.432813","0.109788","0.255388","0.381001","79"
"-0.01226","0.837711","0.800813","-9.393146","0.104664","0.240281","0.435631","80"
"-0.010727","0.606952","0.845551","-9.432","0.091634","0.222472","0.471297","81"
"-0.006513","0.426485","0.950685","-9.575052","0.078469","0.200269","0.48492","81"
"-0.001149","0.185465","1.03162","-9.746293","0.07299","0.1647","0.482111","82"
"0.002682","-0.02568","1.114859","-9.91762","0.072378","0.118975","0.47558","83"
"0.006896","-0.264254","1.234304","-10.043771","0.083362","0.07324","0.463603","84"
"0.009195","-0.50868","1.352583","-10.048303","0.106606","0.044178","0.453068","84"
"0.01226","-0.614021","1.38941","-10.090174","0.143083","0.029419","0.460765","85"
"0.013792","-0.603541","1.621018","-9.997219","0.173466","0.001926","0.488491","86"
"0.014942","-0.5259","1.877097","-9.772174","0.205273","0.009515","0.538825","87"
"0.014559","-0.093523","2.050861","-9.811404","0.224893","0.007573","0.600565","87"
"0.013409","0.429274","1.982176","-9.842935","0.279928","-0.046755","0.660707","88"
"0.009578","0.837764","1.58645","-10.310382","0.285404","-0.082347","0.717738","89"
"0.001532","1.416095","1.803263","-10.880071","0.253717","-0.121523","0.756897","90"
"-0.009961","2.000612","1.828171","-11.390707","0.259386","-0.197296","0.743927","90"
"-0.02337","2.329647","1.55625","-11.891244","0.269538","-0.304122","0.671293","91"
"-0.032182","2.458527","1.529826","-12.173803","0.26064","-0.401738","0.535065","92"
"-0.046358","2.4031","1.589411","-12.367382","0.251585","-0.472275","0.367035","93"
"-0.061682","2.308548","2.360514","-12.221087","0.27363","-0.53778","0.214353","93"
"-0.076624","1.93741","2.451509","-11.829308","0.427007","-0.644322","0.089838","94"
"-0.083904","1.443267","1.895949","-11.569921","0.600662","-0.676754","0.004312","95"
"-0.09578","1.361753","1.030145","-11.533774","0.741241","-0.698069","-0.030461","96"
"-0.109573","1.590348","0.28642","-11.793898","0.771832","-0.649086","-0.037303","96"
"-0.123365","1.603309","0.140538","-11.65906","0.749047","-0.626349","-0.042922","97"
"-0.139839","1.602682","-0.134065","-11.359522","0.678761","-0.533077","-0.037268","98"
"-0.158612","1.74532","-0.371708","-10.926598","0.598124","-0.453389","-0.025862","99"
"-0.168573","1.595477","-0.506792","-10.447972","0.524095","-0.364011","-0.000982","99"
"-0.188879","1.497693","-0.880172","-10.214773","0.448879","-0.284962","0.031169","100"
"-0.211483","1.253987","-0.972101","-10.064765","0.38465","-0.226863","0.041604","1"
"-0.233704","0.943168","-1.127356","-9.967574","0.32316","-0.201457","0.037574","1"
"-0.255925","0.754943","-0.898545","-9.755071","0.226374","-0.168871","0.014614","2"
"-0.266652","0.567058","-0.739017","-9.81638","0.227406","-0.175677","-0.020355","3"
"-0.284659","0.31061","-0.417625","-9.66827","0.217219","-0.221243","-0.067537","3"
"-0.303049","0.02916","-0.047462","-9.581878","0.240744","-0.257503","-0.143757","4"
"-0.316841","0.083338","0.171444","-9.531885","0.270606","-0.306067","-0.239738","5"
"-0.322205","0.140191","0.294745","-9.425832","0.325537","-0.380722","-0.343534","5"
"-0.332549","0.237606","0.298136","-9.238014","0.367877","-0.448099","-0.448406","6"
"-0.341361","0.334998","0.23877","-8.860186","0.41217","-0.519998","-0.541608","7"
"-0.350556","0.029598","0.138805","-8.5042","0.41671","-0.563438","-0.617345","7"
"-0.357069","0.033185","0.058588","-8.099481","0.447492","-0.543753","-0.673892","8"
"-0.365881","0.099121","-0.031072","-7.686821","0.45016","-0.528395","-0.709241","9"
"-0.368946","0.002371","-0.152786","-7.296248","0.454572","-0.49793","-0.729997","9"
"-0.378524","0.144607","-0.277789","-7.096176","0.447044","-0.432797","-0.737296","10"
"-0.386186","0.202469","-0.599175","-6.923408","0.412784","-0.362387","-0.736232","11"
"-0.393848","0.287699","-0.800094","-6.862483","0.343694","-0.279745","-0.727799","11"
"-0.40266","0.453308","-1.079068","-7.01352","0.258713","-0.197314","-0.707009","12"
"-0.408407","0.747146","-1.391338","-7.289424","0.165765","-0.124832","-0.676892","13"
"-0.411855","0.898159","-1.642817","-7.71209","0.052511","-0.086784","-0.631682","13"
"-0.415686","1.102076","-1.787983","-8.17851","-0.043463","-0.042944","-0.568024","14"
"-0.418751","1.139895","-1.748055","-8.571494","-0.142769","-0.017279","-0.493969","15"
"-0.421433","1.199722","-1.628601","-8.977293","-0.21102","0.015356","-0.403821","15"
"-0.423732","1.274808","-1.504445","-9.30689","-0.266996","0.022351","-0.310433","16"
"-0.424498","1.158537","-1.38457","-9.456511","-0.290504","0.038065","-0.214843","17"
"-0.425647","0.926426","-1.193999","-9.395777","-0.31861","0.043773","-0.126636","17"
"-0.426414","0.628357","-0.99049","-9.31905","-0.327045","0.051567","-0.054392","18"
"-0.426797","0.318172","-0.629269","-9.213538","-0.338411","0.045174","0.000535","19"
"-0.42718","-0.074082","-0.474298","-9.261189","-0.315399","0.045285","0.049432","19"
"-0.42718","-0.37127","-0.640568","-9.386453","-0.286857","0.044177","0.091438","20"
"-0.426031","-0.596709","-0.783865","-9.482864","-0.273147","0.032174","0.124175","21"
"-0.424498","-0.980477","-0.797276","-9.324569","-0.281468","-0.003043","0.140647","21"
"-0.421816","-1.159783","-0.710208","-9.181388","-0.264098","-0.009761","0.132298","22"
"-0.419134","-1.282658","-0.711022","-9.139737","-0.266215","-0.03299","0.106932","23"
"-0.418368","-1.586192","-0.933554","-8.673827","-0.225892","-0.168207","0.063546","23"
"-0.416453","-1.647169","-1.154744","-8.613652","-0.305539","0.010163","0.040091","24"
"-0.41492","-1.727628","-1.176699","-8.468369","-0.330409","-0.054655","0.005874","25"
"-0.413388","-1.740132","-1.312087","-8.518119","-0.389161","0.004711","-0.022336","26"
"-0.412238","-1.77775","-1.034663","-8.587303","-0.440979","0.006606","-0.051874","26"
"-0.412238","-1.603836","-0.679696","-8.75174","-0.479376","0.06733","-0.073031","27"
"-0.412238","-1.385662","-0.464835","-9.014477","-0.481712","0.075698","-0.103341","28"
"-0.413771","-1.416996","-0.336638","-9.281802","-0.489339","0.104088","-0.127248","28"
"-0.415686","-1.431345","-0.097787","-9.648588","-0.486568","0.121421","-0.151554","29"
"-0.418368","-1.357456","0.104972","-10.182315","-0.4585","0.123444","-0.174616","30"
"-0.419518","-1.515837","0.154123","-10.707508","-0.408991","0.097059","-0.190614","30"
"-0.422199","-1.636383","0.14888","-11.196898","-0.363694","0.059574","-0.20164","31"
"-0.423732","-1.949443","0.148349","-11.454567","-0.320309","-0.012846","-0.214513","32"
