right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_shoulder_ang_x,right_shoulder_ang_y,right_shoulder_ang_z,right_shoulder_acc_x,right_shoulder_acc_y,right_shoulder_acc_z,left_shoulder_ang_x,left_shoulder_ang_y,left_shoulder_ang_z,left_shoulder_acc_x,left_shoulder_acc_y,left_shoulder_acc_z,,,,Label
-0.0009,0.3534,-0.3125,-0.2046,-0.7682,-0.6396,-0.878,-1.3306,9.2544,0.5483,0.1843,0.5625,1.7885,2.2851,6.5242,6.7209,-0.6292,-0.1786,2.3086,1.2878,-4.0803,8.3543,-0.794063,0,1698651997,51
0.0039,0.4049,-0.3125,-0.179,-0.9126,-0.6542,-0.7573,-1.2992,9.3016,0.5643,0.1658,0.5132,1.7066,2.2838,6.5679,6.7043,-0.5858,-0.1619,2.2724,1.333,-4.0733,8.4431,-0.840043,0,1698651997,51
0.0085,0.4285,-0.3124,-0.1413,-1.0213,-0.669,-0.6269,-1.3178,9.3757,0.5845,0.1566,0.6514,1.608,2.2844,6.6111,6.7135,-0.5419,-0.1396,2.2256,1.3874,-4.0692,8.4987,-0.875756,0,1698651997,52
0.0123,0.4164,-0.3122,-0.1034,-1.1569,-0.6515,-0.4957,-1.286,9.3937,0.5454,0.1511,0.723,1.4837,2.3231,6.6602,6.7188,-0.4839,-0.1213,2.1663,1.4529,-4.0674,8.5386,-0.903496,0,1698651997,53
0.016,0.3915,-0.3121,-0.0687,-1.2886,-0.6353,-0.3632,-1.2384,9.334,0.5096,0.1528,0.5962,1.3377,2.3689,6.7023,6.7178,-0.4056,-0.0876,2.0801,1.5396,-4.0611,8.5691,-0.925043,0,1698651997,53
0.0197,0.3777,-0.3119,-0.0386,-1.4233,-0.6407,-0.2449,-1.2334,9.2571,0.4407,0.1508,0.484,1.2039,2.4021,6.7305,6.7272,-0.3218,-0.0111,1.9493,1.6283,-4.029,8.5886,-0.941778,0,1698651997,54
0.0232,0.3636,-0.3114,-0.0133,-1.5169,-0.6687,-0.1215,-1.2189,9.1639,0.3824,0.1398,0.379,1.0948,2.462,6.7569,6.7281,-0.2295,0.0935,1.7803,1.675,-3.9819,8.6004,-0.954778,0,1698651997,55
0.0261,0.3276,-0.3103,0.0275,-1.5111,-0.6495,0.0237,-1.2368,9.0384,0.3873,0.1142,0.3205,1.0016,2.4953,6.7906,6.7277,-0.1305,0.2148,1.5963,1.6936,-3.928,8.5875,-0.964874,0,1698651998,56
0.0286,0.3051,-0.309,0.0582,-1.5195,-0.5682,0.1604,-1.2463,9.0007,0.3799,0.0611,0.3313,0.9002,2.5053,6.8295,6.7309,-0.0493,0.3848,1.415,1.7135,-3.8636,8.5459,-0.972711,0,1698651998,56
0.0305,0.2907,-0.3074,0.0671,-1.5753,-0.5272,0.2726,-1.2378,8.7932,0.4429,-0.0083,0.3814,0.7848,2.5414,6.8456,6.7291,0.012,0.5953,1.229,1.6915,-3.8285,8.4999,-0.97878,0,1698651998,57
0.0327,0.2895,-0.3053,0.0947,-1.6921,-0.5524,0.329,-1.1744,8.6133,0.4977,-0.0792,0.4306,0.6789,2.5692,6.8629,6.7363,0.0597,0.7861,1.03,1.611,-3.8029,8.4771,-0.983427,0,1698651998,58
0.0356,0.2969,-0.3028,0.1379,-1.7674,-0.5737,0.3584,-1.1324,8.8109,0.4627,-0.1368,0.4492,0.5993,2.5694,6.8975,6.7715,0.0958,0.9257,0.8132,1.4737,-3.7748,8.4641,-0.98667,0,1698651998,58
0.0386,0.2927,-0.2993,0.2115,-1.6188,-0.592,0.4042,-1.2506,8.9494,0.4457,-0.1731,0.3912,0.5374,2.5439,6.9222,6.8176,0.1145,1.0001,0.5885,1.2949,-3.7828,8.4618,-0.987794,0,1698651998,59
0.0416,0.2835,-0.2945,0.2978,-1.3568,-0.5993,0.4457,-1.3375,9.0728,0.3745,-0.1902,0.2626,0.4911,2.511,6.9424,6.8664,0.1035,1.0033,0.3757,1.1092,-3.8096,8.4699,-0.987627,0,1698651998,60
0.0446,0.2941,-0.2891,0.3488,-1.0451,-0.6101,0.4993,-1.4104,9.2506,0.3561,-0.212,-0.0162,0.4662,2.4903,6.967,6.9215,0.0736,0.9385,0.19,0.9326,-3.831,8.4642,-0.988965,0,1698651998,60
0.0479,0.3109,-0.2846,0.3584,-0.647,-0.6288,0.5537,-1.5162,9.238,0.43,-0.2485,-0.3061,0.4605,2.5076,6.9981,6.9755,0.0359,0.8234,0.0457,0.7813,-3.8482,8.4584,-0.991428,0,1698651998,61
0.0514,0.3296,-0.281,0.345,-0.302,-0.5887,0.5976,-1.5267,9.0804,0.4173,-0.2769,-0.5065,0.4705,2.5333,7.027,7.0172,-0.0087,0.6803,-0.0536,0.6513,-3.8583,8.4547,-0.99334,0,1698651998,62
0.0554,0.3574,-0.2778,0.3376,-0.0443,-0.5585,0.6275,-1.486,9.0259,0.3316,-0.3049,-0.7099,0.5005,2.5589,7.064,7.0282,-0.0655,0.5223,-0.1231,0.539,-3.8589,8.4484,-0.95498,0,1698651998,63
0.0598,0.3592,-0.2745,0.3572,0.2326,-0.5844,0.6558,-1.5223,9.0092,0.3041,-0.3275,-0.7307,0.5408,2.5742,7.1151,7.0343,-0.1369,0.3501,-0.1685,0.4569,-3.8514,8.4475,-0.823701,0,1698651998,63
0.0636,0.3444,-0.2721,0.3493,0.4673,-0.6019,0.7213,-1.5633,9.0024,0.2634,-0.3391,-0.6079,0.5874,2.5501,7.1637,7.0409,-0.2196,0.1687,-0.185,0.4174,-3.8239,8.4518,-0.657677,0,1698651998,64
0.0663,0.3194,-0.2715,0.2826,0.5302,-0.6701,0.8139,-1.5448,9.242,0.1164,-0.3549,-0.5424,0.6424,2.5254,7.1907,7.022,-0.3128,-0.0063,-0.1731,0.445,-3.7884,8.4595,-0.554495,0,1698651998,65
0.0685,0.2842,-0.2718,0.221,0.5203,-0.7998,0.9003,-1.6433,9.4128,-0.0302,-0.3723,-0.5452,0.686,2.5202,7.2132,7.0084,-0.4236,-0.1329,-0.1426,0.5207,-3.7688,8.4946,-0.510979,0,1698651998,65
0.0712,0.2859,-0.2718,0.1535,0.4862,-0.9849,0.9521,-1.749,9.4717,-0.1801,-0.4275,-0.6181,0.7053,2.5217,7.2399,7.0171,-0.5633,-0.1937,-0.1036,0.5982,-3.779,8.5464,-0.550678,0,1698651998,66
0.0745,0.3075,-0.2719,0.1007,0.4598,-1.2224,0.9693,-1.8048,9.5928,-0.2981,-0.5327,-0.788,0.7041,2.52,7.2648,7.0661,-0.7264,-0.2128,-0.0784,0.6753,-3.8224,8.6121,-0.648784,0,1698651998,67
0.0779,0.3165,-0.2718,0.0781,0.6275,-1.4793,1.0048,-1.8827,9.6939,-0.2976,-0.6621,-0.9908,0.6947,2.5405,7.2757,7.1792,-0.8777,-0.2371,-0.086,0.768,-3.9054,8.6917,-0.727187,0,1698651998,67
0.0809,0.3026,-0.2716,0.0685,0.9223,-1.7112,1.0699,-1.9138,9.9551,-0.259,-0.7677,-1.179,0.6704,2.5832,7.3028,7.3253,-0.9945,-0.3121,-0.1159,0.8844,-4.0326,8.7826,-0.788073,0,1698651998,68
0.0827,0.2464,-0.2712,0.0653,1.2083,-1.8794,1.0889,-1.9291,10.2516,-0.1672,-0.8327,-1.326,0.6063,2.6535,7.3573,7.5193,-1.0894,-0.3747,-0.168,1.0087,-4.1897,8.9083,-0.83536,0,1698651998,69
