right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_shoulder_ang_x,right_shoulder_ang_y,right_shoulder_ang_z,right_shoulder_acc_x,right_shoulder_acc_y,right_shoulder_acc_z,left_shoulder_ang_x,left_shoulder_ang_y,left_shoulder_ang_z,left_shoulder_acc_x,left_shoulder_acc_y,left_shoulder_acc_z,,,,Label
-0.1316,-3.25,-0.3019,1.0183,-0.5527,-0.7597,-3.2269,-2.0111,12.1381,3.688,0.2866,0.0408,-2.7315,-1.5428,3.1727,10.3828,-0.9247,0.6641,-5.0295,2.3729,-5.7937,9.3624,0.815912,0,1698374924,79
-0.1695,-3.4016,-0.2875,1.1408,-0.7349,-0.9213,-2.6465,-1.8182,11.7011,3.7634,0.4839,-0.0419,-2.9146,-1.831,3.1019,10.314,-1.094,1.0747,-5.2944,2.0567,-5.769,9.4129,0.849229,0,1698374924,80
-0.204,-3.3993,-0.272,1.2664,-0.6669,-1.1568,-1.9486,-1.6827,11.1275,3.7963,0.7564,-0.4376,-3.2069,-1.977,3.0367,10.2694,-1.1991,1.23,-5.495,1.7875,-5.7527,9.4684,0.77785,0,1698374924,81
-0.2345,-3.2919,-0.2556,1.4111,-0.447,-1.3355,-1.1516,-1.5433,10.6421,3.7708,1.0533,-0.97,-3.5259,-1.9427,3.0024,10.2417,-1.2083,1.2211,-5.6551,1.5977,-5.7874,9.4859,0.543336,0,1698374924,82
-0.2612,-3.1038,-0.2401,1.526,-0.0938,-1.3021,-0.3375,-1.1017,10.0414,3.6096,1.324,-1.45,-3.7933,-1.788,3.0441,10.1943,-1.0859,1.1366,-5.7709,1.4772,-5.8077,9.4578,0.247037,0,1698374924,83
-0.2836,-2.8371,-0.2248,1.6201,0.2708,-0.92,0.4312,-0.416,9.2536,3.4438,1.5308,-1.799,-3.9678,-1.535,3.1292,10.0679,-0.8101,1.0386,-5.8268,1.3949,-5.739,9.3678,0.202276,0,1698374924,84
-0.3039,-2.62,-0.2081,1.7038,0.5626,-0.797,1.1502,0.1505,8.6745,3.284,1.6463,-1.9447,-4.0539,-1.2166,3.1747,9.8468,-0.4093,0.9642,-5.8148,1.3379,-5.5864,9.1777,0.379621,0,1698374924,85
-0.3254,-2.4722,-0.189,1.8121,0.8693,-0.8012,1.8594,0.3988,8.1868,3.0949,1.6662,-1.8875,-4.0866,-0.8779,3.1697,9.5227,0.0647,0.9388,-5.7552,1.307,-5.3637,8.9009,0.518133,0,1698374924,86
-0.3475,-2.353,-0.17,1.9249,1.0428,-0.3664,2.5279,0.6864,7.9319,2.7861,1.6117,-1.6837,-4.1053,-0.5627,3.1426,9.0895,0.5821,0.9174,-5.6706,1.3089,-5.0729,8.5442,0.62572,0,1698374924,87
-0.368,-2.2639,-0.1523,2.0084,0.961,0.0821,3.1145,1.0006,8.0189,2.4941,1.4893,-1.3456,-4.1581,-0.2817,3.0851,8.5707,1.1288,0.9152,-5.5597,1.3497,-4.7192,8.1477,0.709285,0,1698374924,88
