right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_shoulder_ang_x,right_shoulder_ang_y,right_shoulder_ang_z,right_shoulder_acc_x,right_shoulder_acc_y,right_shoulder_acc_z,left_shoulder_ang_x,left_shoulder_ang_y,left_shoulder_ang_z,left_shoulder_acc_x,left_shoulder_acc_y,left_shoulder_acc_z,,,,Label
-0.0167,0.4492,-0.4549,-0.5466,-1.7773,-1.8611,-0.8833,-1.4031,9.2822,1.2307,0.4434,0.6434,-1.2869,0.1429,3.5938,8.7955,-0.4546,1.1446,0.0643,-0.1912,-4.4212,7.5759,-0.914105,0,1698371511,52
-0.0136,0.4189,-0.4569,-0.4386,-1.9503,-1.8586,-0.7315,-1.468,9.3192,1.1344,0.3952,0.7278,-1.3137,0.1639,3.6321,8.8868,-0.4468,1.1795,-0.0911,-0.1998,-4.4504,7.631,-0.933283,0,1698371511,52
-0.01,0.4098,-0.4573,-0.331,-2.1588,-1.7817,-0.5924,-1.3661,9.3988,0.8704,0.3032,0.8241,-1.3268,0.1605,3.6746,8.9387,-0.439,1.204,-0.2357,-0.2164,-4.4704,7.6742,-0.948177,0,1698371511,53
-0.0054,0.4533,-0.4571,-0.2475,-2.2808,-1.6956,-0.4494,-1.3067,9.3125,0.7191,0.1977,0.9048,-1.3429,0.1476,3.7042,8.9361,-0.4415,1.2308,-0.3642,-0.2405,-4.4829,7.7186,-0.959737,0,1698371511,54
-0.0003,0.511,-0.4568,-0.1836,-2.2008,-1.6815,-0.3135,-1.2737,9.1746,0.7424,0.1055,0.9521,-1.3632,0.1123,3.7194,8.9086,-0.4528,1.2796,-0.4802,-0.2729,-4.486,7.7617,-0.968702,0,1698371511,55
0.0049,0.5316,-0.4557,-0.0993,-2.0423,-1.651,-0.1663,-1.116,8.7802,0.9431,0.0441,0.954,-1.3968,0.0672,3.7291,8.888,-0.4803,1.3176,-0.589,-0.3127,-4.4748,7.7877,-0.975637,0,1698371511,55
0.0105,0.5389,-0.453,0.0001,-2.1357,-1.7133,0.0077,-0.9494,8.2558,1.2833,0.0143,0.9085,-1.4569,0.0372,3.743,8.8651,-0.5281,1.2951,-0.7085,-0.3482,-4.4476,7.7985,-0.980996,0,1698371511,56
0.017,0.5669,-0.4479,0.1303,-2.2713,-1.7822,0.2375,-0.9943,7.8992,1.4862,0.0048,0.8366,-1.5352,0.0209,3.7702,8.8249,-0.5823,1.2376,-0.8354,-0.3565,-4.4169,7.8138,-0.985171,0,1698371511,57
0.0238,0.6094,-0.4406,0.2717,-2.248,-1.6551,0.525,-1.0674,7.6869,1.3989,0.006,0.756,-1.6156,0.0122,3.8022,8.7722,-0.6337,1.2133,-0.951,-0.3576,-4.3837,7.8145,-0.988438,0,1698371511,58
0.0305,0.665,-0.4321,0.3822,-2.0475,-1.5682,0.7799,-1.0338,7.6921,1.2303,0.0103,0.6559,-1.6815,-0.0306,3.8303,8.7247,-0.6814,1.2371,-1.057,-0.381,-4.3442,7.7991,-0.990986,0,1698371511,59
0.0382,0.7395,-0.4217,0.5563,-1.683,-1.5715,0.9778,-0.9869,7.6904,1.1119,0.0179,0.5091,-1.7275,-0.1144,3.8607,8.7027,-0.7286,1.2812,-1.1615,-0.4247,-4.3018,7.7827,-0.992967,0,1698371511,59
0.0469,0.7776,-0.4093,0.7766,-1.2976,-1.5417,1.1393,-0.8999,7.622,1.1831,0.04,0.2946,-1.771,-0.1915,3.8971,8.7129,-0.784,1.312,-1.2767,-0.4657,-4.2638,7.7613,-0.994509,0,1698371511,60
0.0566,0.808,-0.3962,0.9297,-0.8065,-1.5892,1.2681,-0.9574,7.7616,1.3671,0.0903,0.012,-1.8371,-0.2329,3.923,8.7633,-0.8595,1.3078,-1.4063,-0.5111,-4.2696,7.744,-0.995694,0,1698371511,61
0.0665,0.8201,-0.3834,0.9947,-0.3253,-1.6262,1.3477,-1.0318,7.9324,1.4914,0.1661,-0.3088,-1.9379,-0.2223,3.9428,8.8586,-0.9487,1.273,-1.5461,-0.5544,-4.3353,7.7587,-0.996624,0,1698371511,62
0.0755,0.7863,-0.3719,1.0179,-0.0411,-1.5509,1.3609,-0.9041,8.43,1.5566,0.2557,-0.6254,-2.0673,-0.1788,3.9614,8.9941,-1.0411,1.2366,-1.6675,-0.5873,-4.4462,7.814,-0.997372,0,1698371511,63
0.0833,0.756,-0.3626,0.9898,0.2095,-1.5086,1.2988,-0.8906,9.3301,1.4774,0.3465,-0.9071,-2.2206,-0.1159,3.9735,9.1816,-1.1222,1.2143,-1.7516,-0.6518,-4.5991,7.8839,-0.997958,0,1698371511,63
0.0894,0.7069,-0.3559,0.8811,0.4425,-1.4826,1.167,-0.9096,9.9882,1.2739,0.4086,-1.1241,-2.3892,-0.0278,3.9769,9.3799,-1.1826,1.1723,-1.7981,-0.7257,-4.7866,7.974,-0.998413,0,1698371511,64
0.0941,0.6456,-0.3527,0.7162,0.6286,-1.4709,0.9854,-0.7399,10.2137,1.1816,0.4218,-1.2612,-2.5559,0.069,3.9657,9.5412,-1.227,1.0995,-1.8104,-0.7762,-4.9892,8.0971,-0.998767,0,1698371511,65
