right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_chest_ang_x,right_chest_ang_y,right_chest_ang_z,right_chest_acc_x,right_chest_acc_y,right_chest_acc_z,left_chest_ang_x,left_chest_ang_y,left_chest_ang_z,left_chest_acc_x,left_chest_acc_y,left_chest_acc_z,,,,Label
0.086,-1.7717,-0.3368,0.3288,2.3775,0.9528,-4.4335,-0.9834,11.6662,4.4046,1.5745,-1.2239,0.36,-11.3589,3.1313,-2.2907,0.7492,-0.1912,-0.7801,-11.6292,0.5235,0.9579,-0.047069,0,1698375258.8914,74
0.0585,-2.1458,-0.3345,0.3775,2.4571,0.6875,-4.6012,-1.1898,11.3145,4.4042,2.4387,-0.974,0.3559,-10.629,2.8845,-2.4189,1.3617,0.3856,-0.7078,-11.176,0.3098,0.7686,-0.223148,0,1698375258.9028,75
0.0245,-2.5362,-0.3254,0.5471,2.674,0.253,-4.388,-1.3232,9.9543,4.9117,3.052,-0.9068,0.379,-9.9953,2.6752,-2.4727,1.9551,0.8942,-0.5724,-10.7663,0.0497,0.6299,-0.243635,0,1698375258.9122,76
-0.0123,-2.7497,-0.3115,0.7705,2.7104,-0.4023,-3.8586,-1.3571,8.4829,5.3623,3.38,-0.9612,0.4439,-9.5199,2.4551,-2.3953,2.4969,1.4503,-0.3862,-10.4162,-0.2221,0.4874,-0.080086,0,1698375258.922,77
-0.047,-2.9494,-0.295,1.052,2.5291,-1.1099,-3.2232,-1.9772,8.584,5.0382,3.4909,-1.0716,0.5164,-9.3343,2.3221,-2.1529,2.9732,1.8191,-0.176,-10.1483,-0.3881,0.3914,0.107031,0,1698375258.932,78
-0.0813,-3.1315,-0.2774,1.2563,2.1862,-1.5947,-2.5354,-2.9483,8.964,4.7435,3.4866,-1.3167,0.5404,-9.4574,2.3356,-1.8032,3.3823,1.8653,0.0153,-10.0063,-0.4566,0.3714,0.239329,0,1698375258.9413,79
-0.1136,-3.209,-0.2615,1.3609,1.7026,-1.9969,-2.0191,-3.0967,9.3706,4.5127,3.4799,-1.5659,0.5351,-9.7938,2.4019,-1.4706,3.7938,1.5706,0.1205,-10.0253,-0.4301,0.4012,0.366092,0,1698375258.951,80
-0.1459,-3.3162,-0.2457,1.3924,1.3296,-2.38,-1.5336,-2.7124,9.8984,4.1677,3.4474,-1.641,0.5396,-10.1048,2.5264,-1.2139,4.2685,0.8831,0.0684,-10.1227,-0.3251,0.4894,0.499184,0,1698375258.9624,81
-0.1784,-3.3048,-0.229,1.4003,1.0952,-2.7159,-0.964,-2.2936,10.0237,3.9454,3.4085,-1.4437,0.5499,-10.2443,2.6846,-1.0949,4.7515,0.0109,-0.1322,-10.1879,-0.1607,0.6062,0.609529,0,1698375258.9721,82
-0.2081,-3.205,-0.2126,1.4305,0.6183,-2.7748,-0.3963,-1.3662,10.106,3.6012,3.5079,-1.0637,0.5757,-10.2123,2.8254,-1.1493,5.1232,-0.6692,-0.4117,-10.1917,0.06,0.6895,0.694896,0,1698375258.9813,83
