right q,right q dot,left q,left q dot,right_shoulder_ang_x,right_shoulder_ang_y,right_shoulder_ang_z,right_shoulder_acc_x,right_shoulder_acc_y,right_shoulder_acc_z,left_shoulder_ang_x,left_shoulder_ang_y,left_shoulder_ang_z,left_shoulder_acc_x,left_shoulder_acc_y,left_shoulder_acc_z,Label
-0.0387,0.3257,-0.061,-1.2722,-0.4437,0.1641,0.8386,-0.2578,0.0015,0.6181,-0.4861,0.0445,0.7729,-0.1892,0.2013,0.5293,22
-0.0347,0.3123,-0.0758,-1.2188,-0.4396,0.1602,0.8474,-0.2457,0.0032,0.6172,-0.4906,0.0441,0.7812,-0.1704,0.2067,0.5283,23
-0.0347,0.3123,-0.0758,-1.2188,-0.4356,0.156,0.8557,-0.231,0.0042,0.6142,-0.4946,0.0434,0.7899,-0.152,0.2107,0.5254,23
-0.0309,0.3033,-0.09,-1.1608,-0.4356,0.156,0.8557,-0.231,0.0042,0.6142,-0.4946,0.0434,0.7899,-0.152,0.2107,0.5254,23
-0.0273,0.2989,-0.1035,-1.099,-0.4318,0.1516,0.8632,-0.214,0.0044,0.6091,-0.4982,0.0424,0.7988,-0.1343,0.2135,0.5208,24
-0.0273,0.2989,-0.1035,-1.099,-0.4281,0.1471,0.8697,-0.1951,0.0039,0.602,-0.5011,0.0413,0.8079,-0.1177,0.215,0.5144,24
-0.0237,0.2992,-0.1162,-1.0344,-0.4281,0.1471,0.8697,-0.1951,0.0039,0.602,-0.5011,0.0413,0.8079,-0.1177,0.215,0.5144,24
-0.0201,0.3041,-0.1281,-0.9677,-0.4245,0.1426,0.8752,-0.1744,0.0027,0.5932,-0.5033,0.0399,0.8167,-0.1024,0.2153,0.5063,25
-0.0201,0.3041,-0.1281,-0.9677,-0.4209,0.1382,0.8796,-0.1525,0.0008,0.5827,-0.5047,0.0385,0.8252,-0.0886,0.2146,0.4967,25
-0.0164,0.3134,-0.1392,-0.9,-0.4209,0.1382,0.8796,-0.1525,0.0008,0.5827,-0.5047,0.0385,0.8252,-0.0886,0.2146,0.4967,25
-0.0127,0.327,-0.1496,-0.8321,-0.4173,0.134,0.8827,-0.1297,-0.0018,0.5709,-0.5051,0.037,0.8332,-0.0765,0.2129,0.4857,26
-0.0127,0.327,-0.1496,-0.8321,-0.4137,0.13,0.8845,-0.1063,-0.0051,0.5578,-0.5046,0.0355,0.8404,-0.0662,0.2104,0.4735,26
-0.0088,0.3444,-0.1592,-0.7648,-0.4137,0.13,0.8845,-0.1063,-0.0051,0.5578,-0.5046,0.0355,0.8404,-0.0662,0.2104,0.4735,26
-0.0047,0.3653,-0.168,-0.6989,-0.4101,0.1264,0.8851,-0.0829,-0.0089,0.5439,-0.5032,0.034,0.8468,-0.0578,0.2071,0.4603,27
-0.0047,0.3653,-0.168,-0.6989,-0.4065,0.1232,0.8843,-0.0598,-0.0133,0.5292,-0.5008,0.0326,0.8523,-0.0514,0.2034,0.4463,27
-0.0003,0.389,-0.176,-0.6351,-0.4065,0.1232,0.8843,-0.0598,-0.0133,0.5292,-0.5008,0.0326,0.8523,-0.0514,0.2034,0.4463,27
0.0043,0.415,-0.1834,-0.5742,-0.4028,0.1205,0.8824,-0.0375,-0.0181,0.5141,-0.4974,0.0312,0.8567,-0.0469,0.1992,0.4317,28
0.0043,0.415,-0.1834,-0.5742,-0.3991,0.1183,0.8792,-0.0163,-0.0232,0.4987,-0.493,0.03,0.86,-0.0443,0.1947,0.4167,28
0.0092,0.4428,-0.19,-0.5167,-0.3991,0.1183,0.8792,-0.0163,-0.0232,0.4987,-0.493,0.03,0.86,-0.0443,0.1947,0.4167,28
0.0144,0.4716,-0.1961,-0.4631,-0.3952,0.1166,0.8751,0.0035,-0.0285,0.4834,-0.4878,0.0289,0.8622,-0.0435,0.1901,0.4016,29
0.0144,0.4716,-0.1961,-0.4631,-0.3913,0.1154,0.87,0.0214,-0.0339,0.4684,-0.4818,0.028,0.8634,-0.0444,0.1853,0.3865,29
0.0199,0.5008,-0.2015,-0.4138,-0.3913,0.1154,0.87,0.0214,-0.0339,0.4684,-0.4818,0.028,0.8634,-0.0444,0.1853,0.3865,29
0.0199,0.5008,-0.2015,-0.4138,-0.3874,0.1148,0.8641,0.0372,-0.0393,0.4539,-0.4751,0.0273,0.8634,-0.0469,0.1806,0.3716,30
0.0258,0.5298,-0.2064,-0.3692,-0.3874,0.1148,0.8641,0.0372,-0.0393,0.4539,-0.4751,0.0273,0.8634,-0.0469,0.1806,0.3716,30
0.032,0.5578,-0.2109,-0.3294,-0.3834,0.1147,0.8575,0.0506,-0.0445,0.44,-0.4678,0.0268,0.8624,-0.0506,0.176,0.3573,30
0.032,0.5578,-0.2109,-0.3294,-0.3793,0.1151,0.8505,0.0616,-0.0493,0.4271,-0.46,0.0265,0.8604,-0.0556,0.1716,0.3435,31
0.0385,0.5845,-0.2149,-0.2946,-0.3793,0.1151,0.8505,0.0616,-0.0493,0.4271,-0.46,0.0265,0.8604,-0.0556,0.1716,0.3435,31
0.0454,0.609,-0.2186,-0.2648,-0.3752,0.116,0.8432,0.0699,-0.0538,0.4152,-0.4518,0.0264,0.8577,-0.0616,0.1673,0.3306,31
0.0454,0.609,-0.2186,-0.2648,-0.3711,0.1173,0.8356,0.0754,-0.0576,0.4044,-0.4435,0.0265,0.8542,-0.0684,0.1634,0.3186,32
0.0525,0.6311,-0.222,-0.2398,-0.3711,0.1173,0.8356,0.0754,-0.0576,0.4044,-0.4435,0.0265,0.8542,-0.0684,0.1634,0.3186,32
0.0598,0.6502,-0.2251,-0.2196,-0.367,0.1189,0.8281,0.0782,-0.0609,0.3949,-0.4351,0.0269,0.85,-0.0758,0.1596,0.3077,32
0.0598,0.6502,-0.2251,-0.2196,-0.363,0.1209,0.8208,0.0782,-0.0633,0.3867,-0.4267,0.0274,0.8455,-0.0836,0.1562,0.298,33
0.0674,0.666,-0.2281,-0.2039,-0.363,0.1209,0.8208,0.0782,-0.0633,0.3867,-0.4267,0.0274,0.8455,-0.0836,0.1562,0.298,33
0.0751,0.6782,-0.2309,-0.1923,-0.359,0.1232,0.8137,0.0755,-0.065,0.3798,-0.4186,0.0282,0.8406,-0.0917,0.1529,0.2895,33
0.0751,0.6782,-0.2309,-0.1923,-0.3551,0.1256,0.8071,0.0704,-0.0658,0.3742,-0.4108,0.0291,0.8355,-0.0998,0.1499,0.2823,34
0.0829,0.6866,-0.2335,-0.1843,-0.3551,0.1256,0.8071,0.0704,-0.0658,0.3742,-0.4108,0.0291,0.8355,-0.0998,0.1499,0.2823,34
0.0908,0.6911,-0.2361,-0.1796,-0.3513,0.1281,0.8011,0.0628,-0.0657,0.37,-0.4034,0.0302,0.8304,-0.1079,0.1471,0.2765,34
0.0908,0.6911,-0.2361,-0.1796,-0.3477,0.1307,0.7957,0.0531,-0.0646,0.367,-0.3967,0.0314,0.8254,-0.1157,0.1444,0.272,35
0.0988,0.6916,-0.2387,-0.1776,-0.3477,0.1307,0.7957,0.0531,-0.0646,0.367,-0.3967,0.0314,0.8254,-0.1157,0.1444,0.272,35
