right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_back_ang_x,right_back_ang_y,right_back_ang_z,right_back_acc_x,right_back_acc_y,right_back_acc_z,left_back_ang_x,left_back_ang_y,left_back_ang_z,left_back_acc_x,left_back_acc_y,left_back_acc_z,,,,Label
-0.1448,0.6511,-0.1634,-1.4281,0.2623,1.7948,-0.3231,-0.9983,9.6993,1.5548,2.1627,0.7007,0.2911,8.5258,0.0736,4.9952,0.0902,-2.9277,-0.1959,9.3155,0.2428,2.0153,0.993562,0,1698651636.1358,30
-0.1384,0.6463,-0.1799,-1.4044,0.3037,1.7479,-0.328,-1.2878,9.7097,1.5375,2.4644,0.515,0.3773,8.6933,0.1465,5.0329,0.4058,-3.3283,-0.0751,9.5444,0.3093,1.9548,0.994999,0,1698651636.1456,31
-0.1323,0.6249,-0.1952,-1.4241,0.2907,1.657,-0.3318,-1.4722,9.7529,1.5641,2.6833,0.3383,0.4051,8.882,0.2218,5.0641,0.7414,-3.5969,0.0256,9.7924,0.3794,1.892,0.996116,0,1698651636.1557,32
-0.1267,0.6169,-0.2089,-1.4578,0.1144,1.5097,-0.3739,-1.6252,9.966,1.5398,2.7366,0.2744,0.3269,9.0858,0.2707,5.1127,1.1179,-3.7569,0.1012,10.0698,0.4322,1.8122,0.996983,0,1698651636.1651,32
-0.121,0.6008,-0.222,-1.4159,0.0227,1.3092,-0.4066,-1.8615,10.3012,1.5058,2.594,0.3227,0.1742,9.2488,0.3029,5.1496,1.4717,-3.8795,0.1344,10.2957,0.4594,1.6925,0.997656,0,1698651636.1756,33
-0.1154,0.5741,-0.2339,-1.3583,0.1568,1.1151,-0.421,-2.0403,10.4956,1.5103,2.3468,0.3245,0.0377,9.3432,0.3363,5.1528,1.6664,-4.0855,0.1176,10.4299,0.4652,1.5552,0.998179,0,1698651636.1856,34
-0.1103,0.5489,-0.2446,-1.3129,0.3317,0.9499,-0.4509,-2.0071,10.3873,1.5778,2.0501,0.2619,-0.0582,9.4252,0.3343,5.1607,1.7554,-4.1987,0.0312,10.5326,0.4393,1.4132,0.998584,0,1698651636.195,34
-0.1059,0.5175,-0.2545,-1.26,0.4837,0.7764,-0.5235,-1.8757,10.2816,1.6742,1.7062,0.3105,-0.1556,9.5144,0.2846,5.1318,1.7649,-4.1272,-0.1075,10.5723,0.3716,1.2292,0.998899,0,1698651636.205,35
-0.1017,0.4964,-0.2638,-1.2024,0.6163,0.5649,-0.6558,-1.7958,10.2205,1.7112,1.3266,0.5042,-0.2577,9.5665,0.2112,5.0723,1.7169,-3.8893,-0.2518,10.5441,0.2893,1.0574,0.999141,0,1698651636.2159,36
-0.0977,0.4659,-0.2728,-1.1497,0.7252,0.3308,-0.8147,-1.7102,10.1662,1.6774,1.0003,0.6742,-0.3268,9.5445,0.1617,5.0156,1.6217,-3.4574,-0.375,10.4919,0.2275,0.9319,0.999317,0,1698651636.2266,36
-0.0943,0.4186,-0.2812,-1.0682,0.8636,0.0842,-0.974,-1.6366,10.1301,1.649,0.8601,0.7108,-0.3455,9.5081,0.1246,4.9191,1.5298,-2.8467,-0.4588,10.4172,0.1707,0.8115,0.999312,0,1698651636.2356,37
-0.0918,0.3868,-0.2878,-0.9559,0.9752,-0.1355,-1.1489,-1.5713,10.1074,1.5037,0.8535,0.6447,-0.3208,9.4959,0.0688,4.822,1.484,-2.1423,-0.5008,10.3309,0.1074,0.7137,0.994575,0,1698651636.2454,38
-0.0895,0.3724,-0.2943,-0.8832,1.0271,-0.2908,-1.3418,-1.4674,10.0302,1.3537,0.8475,0.5319,-0.265,9.4955,0.014,4.748,1.4765,-1.4749,-0.513,10.2253,0.0515,0.6519,0.96664,0,1698651636.2555,38
-0.0868,0.3526,-0.301,-0.8424,1.0605,-0.4506,-1.5274,-1.3544,9.812,1.3516,0.8352,0.3063,-0.1867,9.4321,-0.0198,4.6733,1.4827,-0.8884,-0.5046,10.1069,0.0161,0.62,0.86682,0,1698651636.2656,39
-0.0841,0.3345,-0.307,-0.7958,1.1657,-0.6344,-1.6903,-1.2811,9.5397,1.3777,0.858,-0.0641,-0.0927,9.3259,-0.0193,4.5803,1.4798,-0.4039,-0.4827,9.9875,0.0009,0.5975,0.752176,0,1698651636.2754,40
-0.0813,0.3147,-0.3129,-0.7392,1.2236,-0.7831,-1.8518,-1.16,9.3759,1.3523,0.8093,-0.3858,-0.0359,9.2766,-0.0227,4.5022,1.4954,0.027,-0.4427,9.9041,-0.0039,0.5702,0.669137,0,1698651636.2857,40
-0.0784,0.2967,-0.3186,-0.6932,1.139,-0.902,-1.9781,-1.0675,9.2915,1.3046,0.6351,-0.5352,-0.0411,9.2335,-0.0237,4.4416,1.5493,0.4512,-0.3725,9.8478,0.0051,0.5431,0.581231,0,1698651636.2952,41
