right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_back_ang_x,right_back_ang_y,right_back_ang_z,right_back_acc_x,right_back_acc_y,right_back_acc_z,left_back_ang_x,left_back_ang_y,left_back_ang_z,left_back_acc_x,left_back_acc_y,left_back_acc_z,,,,Label
-0.2159,0.4965,-0.3411,-1.8426,-0.6191,0.961,-1.0148,-2.2967,9.7029,2.7727,1.5328,0.3649,-0.419,10.5189,-0.1405,2.6476,2.1809,2.5201,-0.0635,10.018,1.7291,2.5316,0.607851,0,1698374128.8558,37
-0.2119,0.4742,-0.3532,-1.6417,-0.5411,0.7918,-1.23,-2.2532,9.4404,2.7566,1.0906,0.7518,-0.3362,10.494,-0.2448,2.49,1.4273,2.0834,-0.0992,10.0061,1.6102,2.5429,0.694944,0,1698374128.8663,38
-0.2075,0.4628,-0.3633,-1.4597,-0.3092,0.5275,-1.4423,-2.2336,9.146,2.9055,0.8084,1.0591,-0.2471,10.421,-0.3636,2.3724,0.6536,1.5328,-0.1372,9.9407,1.5173,2.4891,0.634087,0,1698374128.8758,38
-0.2034,0.4471,-0.3717,-1.2829,-0.055,0.3077,-1.6481,-2.1791,8.9854,2.8937,0.6097,1.3404,0.0598,10.325,-0.4699,2.2963,0.0279,1.0013,-0.1829,9.8383,1.4567,2.373,0.408788,0,1698374128.8858,39
-0.1993,0.4393,-0.3787,-1.1287,0.1169,0.1532,-1.8599,-2.0133,9.062,2.6704,0.4084,1.605,0.317,10.2204,-0.5592,2.2062,-0.2987,0.6966,-0.2252,9.7216,1.3903,2.2711,0.169876,0,1698374128.8966,40
-0.1947,0.4674,-0.3852,-1.0139,0.2078,0.0621,-2.0483,-1.7696,9.1597,2.5333,0.1652,1.807,0.3173,10.1024,-0.6527,2.13,-0.3623,0.5861,-0.2444,9.6187,1.3198,2.1823,-0.040884,0,1698374128.9059,40
-0.1893,0.4877,-0.3913,-0.9306,0.3176,-0.0035,-2.1699,-1.5405,9.1086,2.4932,-0.0101,1.895,0.3226,9.9754,-0.7445,2.0773,-0.324,0.5087,-0.2286,9.504,1.2666,2.1112,-0.214216,0,1698374128.9168,41
-0.1839,0.482,-0.3971,-0.8993,0.4677,-0.0195,-2.2098,-1.3796,9.0018,2.4702,0.0336,1.8635,0.3234,9.8535,-0.7925,2.0168,-0.3513,0.2714,-0.1891,9.3759,1.2299,2.0421,-0.350014,0,1698374128.9265,42
-0.1783,0.5089,-0.4034,-0.8767,0.4794,0.0328,-2.2136,-1.217,9.076,2.4067,0.238,1.7071,0.3146,9.746,-0.8085,1.9952,-0.4569,-0.1174,-0.1397,9.2663,1.2209,1.9777,-0.465636,0,1698374128.9358,43
-0.172,0.5767,-0.4102,-0.8355,0.3769,0.1305,-2.1645,-1.0904,9.2655,2.3069,0.5441,1.4662,0.2933,9.655,-0.8067,2.0196,-0.4852,-0.4041,-0.0595,9.1747,1.2339,1.9536,-0.55628,0,1698374128.9467,43
-0.1656,0.6066,-0.4176,-0.8401,0.3135,0.2686,-2.0514,-0.9956,9.4292,2.2229,0.8799,1.2186,0.2623,9.5814,-0.7561,2.0468,-0.4194,-0.5245,0.0394,9.0921,1.2606,1.9301,-0.584532,0,1698374128.9573,44
-0.1589,0.6178,-0.426,-0.844,0.1287,0.4535,-1.9141,-0.865,9.5924,2.1232,1.1458,1.0067,0.2271,9.5266,-0.677,2.0715,-0.3266,-0.5814,0.1179,9.0303,1.3032,1.906,-0.572785,0,1698374128.9673,45
