right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_back_ang_x,right_back_ang_y,right_back_ang_z,right_back_acc_x,right_back_acc_y,right_back_acc_z,left_back_ang_x,left_back_ang_y,left_back_ang_z,left_back_acc_x,left_back_acc_y,left_back_acc_z,,,,Label
-0.2384,0.0756,0.0381,0.0867,0.5591,0.4888,-0.9984,-0.3016,10.5416,1.1938,0.6434,-1.1053,-0.0693,9.7933,-0.1149,6.2548,-0.5068,-0.5902,-0.4546,10.5473,-0.0272,4.1685,0.420811,0,1698648004.2515,24
-0.2381,0.0831,0.0381,0.0778,0.7899,0.408,-1.0553,-0.2289,10.2699,1.2004,0.254,-1.2014,0.0599,9.5803,-0.2185,6.0798,-0.9688,-0.6989,-0.5522,10.2538,-0.1108,4.1286,0.193962,0,1698648004.2616,25
-0.2369,0.1068,0.038,0.0441,0.872,0.4202,-1.1566,-0.1222,10.0832,1.1226,0.1075,-1.1056,0.1901,9.3237,-0.3281,5.955,-1.2297,-0.8949,-0.6279,9.9271,-0.2454,4.0677,0.022063,0,1698648004.2718,25
-0.2336,0.189,0.0378,0.0098,1.0253,0.5184,-1.295,-0.0201,10.1771,0.9642,0.2425,-0.9716,0.367,9.0768,-0.3927,5.9094,-1.2491,-1.1657,-0.6526,9.5874,-0.4166,4.0132,-0.085207,0,1698648004.2822,26
-0.2281,0.3113,0.0377,-0.0103,1.1128,0.6483,-1.4391,-0.0068,10.3455,0.8323,0.4923,-0.905,0.6024,8.8693,-0.4148,5.8965,-0.9071,-1.5524,-0.5986,9.2705,-0.5952,3.9732,-0.035878,0,1698648004.2916,26
-0.2209,0.4385,0.0376,-0.0319,0.9703,0.8199,-1.5612,-0.0291,10.2886,0.8437,0.7433,-0.8745,0.8347,8.721,-0.4191,5.8375,-0.2597,-2.0019,-0.4662,9.0219,-0.7466,3.9262,0.132602,0,1698648004.3015,27
-0.2128,0.5532,0.0373,-0.064,0.8868,0.9635,-1.616,-0.0533,10.0985,0.945,0.9699,-0.8756,1.0228,8.6103,-0.4115,5.7331,0.5219,-2.3902,-0.2876,8.863,-0.8251,3.8642,0.324102,0,1698648004.3117,27
-0.2041,0.6013,0.0364,-0.106,1.0351,1.0315,-1.6373,-0.198,10.2601,0.9168,1.0922,-0.9037,1.1306,8.523,-0.3599,5.623,1.29,-2.639,-0.0798,8.7869,-0.8035,3.8081,0.474735,0,1698648004.322,28
-0.1955,0.6345,0.0351,-0.125,1.1085,1.1193,-1.6402,-0.3805,10.4891,0.8214,1.1727,-0.8505,1.1205,8.4541,-0.2608,5.5096,2.0016,-2.7666,0.1429,8.7708,-0.6873,3.7546,0.591966,0,1698648004.3319,29
-0.1875,0.6929,0.0332,-0.1525,0.9013,1.2591,-1.5956,-0.5505,10.4691,0.8069,1.311,-0.6908,1.0139,8.3947,-0.1309,5.4376,2.5919,-2.6297,0.3653,8.7914,-0.5171,3.7029,0.683057,0,1698648004.3421,29
-0.1797,0.7244,0.0303,-0.2114,0.7643,1.3438,-1.537,-0.7807,10.2866,0.9346,1.5012,-0.5079,0.8279,8.3614,0.0377,5.3947,3.0171,-2.2166,0.573,8.8267,-0.332,3.674,0.7538,0,1698648004.3528,30
-0.172,0.7108,0.0261,-0.2761,0.7243,1.3422,-1.4575,-0.9073,9.9176,1.2674,1.7145,-0.2917,0.6008,8.3548,0.2285,5.3523,3.3363,-1.6656,0.7472,8.853,-0.1366,3.6681,0.808726,0,1698648004.3624,30
-0.1651,0.7153,0.0207,-0.3341,0.66,1.2805,-1.3753,-0.9691,9.6981,1.4882,1.835,-0.1468,0.4739,8.3502,0.4074,5.3718,3.505,-1.0365,0.8841,8.8508,0.0515,3.6581,0.851381,0,1698648004.3727,31
-0.1582,0.7264,0.0146,-0.3896,0.518,1.2872,-1.2816,-0.9534,9.5744,1.462,1.9499,-0.0999,0.4161,8.3436,0.552,5.3599,3.4826,-0.5547,0.9896,8.8217,0.2139,3.5694,0.884534,0,1698648004.3824,31
-0.1515,0.7177,0.0081,-0.4663,0.6659,1.294,-1.1653,-0.9915,9.5715,1.4405,2.178,-0.0949,0.4472,8.3124,0.6667,5.2719,3.0528,-0.0586,0.8534,8.7377,0.5987,3.4741,0.910307,0,1698648004.3922,32
-0.1455,0.7028,0.0008,-0.5348,0.7825,1.3394,-1.0571,-1.0024,9.6118,1.4871,2.3467,-0.1661,0.5965,8.2387,0.7585,5.1899,2.6474,-0.6243,0.6334,8.6663,0.8217,3.4417,0.93033,0,1698648004.4019,33
-0.1395,0.6828,-0.0066,-0.5601,0.5851,1.4147,-0.945,-0.9464,9.498,1.5573,2.4394,-0.3202,0.7253,8.167,0.8118,5.1325,3.0389,-2.2133,0.564,8.6608,0.7619,3.4275,0.945885,0,1698648004.4116,33
