q,right_acc_x,right_acc_y,right_acc_z,right_ang_x,right_ang_y,right_ang_z,left_acc_x,left_acc_y,left_acc_z,left_ang_x,left_ang_y,left_ang_z,label
-0.1306,-1.8351,-0.81,-2.5948,0.0472,3.5445,9.7987,1.4095,1.0699,-4.9581,1.7256,-2.2838,9.1227,84
-0.1609,-1.6314,-1.3124,-3.104,-0.085,3.2449,9.6364,0.8397,1.5899,-4.9112,1.2814,-2.2628,8.9007,84
-0.1805,-1.6314,-1.3124,-3.104,-0.085,3.2449,9.6364,0.8397,1.5899,-4.9112,1.2814,-2.2628,8.9007,85
-0.1992,-0.9587,-1.6109,-3.6204,0.1028,3.1315,9.8289,0.2912,1.8856,-4.4906,0.9303,-2.3106,9.118,86
-0.2156,-0.9587,-1.6109,-3.6204,0.1028,3.1315,9.8289,0.2912,1.8856,-4.4906,0.9303,-2.3106,9.118,87
-0.2302,0.0411,-1.3482,-3.9557,0.5177,3.199,10.2341,-0.0507,1.8282,-3.7739,0.7705,-2.3529,9.5874,88
-0.2444,0.0411,-1.3482,-3.9557,0.5177,3.199,10.2341,-0.0507,1.8282,-3.7739,0.7705,-2.3529,9.5874,88
-0.2571,1.0303,-0.6817,-4.0702,1.0214,3.373,10.6464,-0.1856,1.5385,-2.8976,0.8471,-2.3451,10.0391,89
-0.269,1.0303,-0.6817,-4.0702,1.0214,3.373,10.6464,-0.1856,1.5385,-2.8976,0.8471,-2.3451,10.0391,90
-0.2805,1.6952,0.1767,-3.9853,1.4789,3.5606,10.8822,-0.1756,1.4664,-2.0374,1.1183,-2.2825,10.2886,91
-0.2915,1.6952,0.1767,-3.9853,1.4789,3.5606,10.8822,-0.1756,1.4664,-2.0374,1.1183,-2.2825,10.2886,91
-0.3015,1.9063,1.0602,-3.7546,1.7482,3.6922,10.8466,-0.0497,1.7529,-1.365,1.4404,-2.1934,10.2808,92
-0.314,1.9063,1.0602,-3.7546,1.7482,3.6922,10.8466,-0.0497,1.7529,-1.365,1.4404,-2.1934,10.2808,93
-0.324,1.787,1.7936,-3.4652,1.7668,3.7227,10.5701,0.0154,2.1868,-0.9536,1.655,-2.1105,10.0349,94
-0.3317,1.787,1.7936,-3.4652,1.7668,3.7227,10.5701,0.0154,2.1868,-0.9536,1.655,-2.1105,10.0349,95
-0.3406,1.6264,2.302,-3.2018,1.5789,3.6607,10.175,-0.0641,2.5912,-0.7486,1.7102,-2.0435,9.6581,95
-0.3474,1.6136,2.5856,-3.0192,1.2689,3.5641,9.8,-0.0547,2.8445,-0.6387,1.6501,-1.9823,9.3181,96
-0.3562,1.6136,2.5856,-3.0192,1.2689,3.5641,9.8,-0.0547,2.8445,-0.6387,1.6501,-1.9823,9.3181,97
-0.3616,1.6136,2.5856,-3.0192,1.2689,3.5641,9.8,-0.0547,2.8445,-0.6387,1.6501,-1.9823,9.3181,98
-0.3655,1.725,2.6478,-2.9017,0.971,3.4897,9.5549,0.0743,2.8877,-0.5433,1.5689,-1.9327,9.114,98
-0.3674,1.8797,2.486,-2.7676,0.7774,3.481,9.4952,0.1377,2.7492,-0.4517,1.538,-1.9321,9.0606,99
-0.3679,1.8797,2.486,-2.7676,0.7774,3.481,9.4952,0.1377,2.7492,-0.4517,1.538,-1.9321,9.0606,0
-0.3677,2.0142,2.1071,-2.5686,0.6722,3.5275,9.6033,0.0718,2.5071,-0.3828,1.5363,-1.9841,9.1287,1
-0.3673,2.0142,2.1071,-2.5686,0.6722,3.5275,9.6033,0.0718,2.5071,-0.3828,1.5363,-1.9841,9.1287,2
-0.3665,2.0407,1.5712,-2.3043,0.6438,3.5894,9.8055,-0.0631,2.2386,-0.328,1.5168,-2.0542,9.2555,2
-0.3661,2.0407,1.5712,-2.3043,0.6438,3.5894,9.8055,-0.0631,2.2386,-0.328,1.5168,-2.0542,9.2555,3
-0.3648,2.0407,1.5712,-2.3043,0.6438,3.5894,9.8055,-0.0631,2.2386,-0.328,1.5168,-2.0542,9.2555,4
-0.3596,1.8873,0.9891,-1.9624,0.6907,3.6352,10.0045,-0.1458,1.9803,-0.2572,1.4604,-2.1333,9.3614,5
-0.3525,1.5532,0.4718,-1.5179,0.7804,3.6096,10.1052,-0.1028,1.7036,-0.1531,1.3791,-2.2284,9.3979,5
-0.3432,1.5532,0.4718,-1.5179,0.7804,3.6096,10.1052,-0.1028,1.7036,-0.1531,1.3791,-2.2284,9.3979,6
-0.3325,1.0951,0.0694,-0.9626,0.8803,3.5033,10.0765,0.0366,1.3689,-0.019,1.3027,-2.3345,9.4001,7
-0.3205,1.0951,0.0694,-0.9626,0.8803,3.5033,10.0765,0.0366,1.3689,-0.019,1.3027,-2.3345,9.4001,8
-0.3025,0.6157,-0.2425,-0.3358,0.9625,3.387,9.9754,0.1947,0.9826,0.1365,1.2323,-2.4246,9.4595,9
-0.2914,0.6157,-0.2425,-0.3358,0.9625,3.387,9.9754,0.1947,0.9826,0.1365,1.2323,-2.4246,9.4595,9
-0.283,0.2559,-0.4956,0.2817,1.0014,3.3277,9.8847,0.3297,0.5505,0.3198,1.1535,-2.4746,9.6435,10
-0.2792,0.2559,-0.4956,0.2817,1.0014,3.3277,9.8847,0.3297,0.5505,0.3198,1.1535,-2.4746,9.6435,11
